Customer_No,Gender,LiteracyLevel,MaritalStatus,Occupation,ApplicantIncome,LoanHistroy,LoanTerm,LoanAmount,LoanStatus
4405259,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,17499.75,1,36,30000,Rejected
4405260,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,20833.15,1,36,30000,Rejected
4405261,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19166.45,1,36,30000,Rejected
4405262,FEMALE,NOT SPECIFIED,SINGLE,TRADE/BUSINESS,17499.75,1,36,30000,Rejected
4405263,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,17499.75,1,36,30000,Rejected
4405264,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,17499.75,1,36,30000,Rejected
4405265,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,13333.4,3,36,20000,Accepted
4405266,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,30275.4,3,36,50000,Accepted
4405267,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,31817.5,3,36,50000,Accepted
4405268,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,30395.4,3,36,50000,Accepted
4405269,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,18133.1,1,36,30000,Rejected
4405270,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,27777.6,3,36,50000,Accepted
4405271,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,27777.6,3,36,50000,Accepted
4405272,FEMALE,NOT SPECIFIED,MARRIED,FARMING,13888.95,3,36,20000,Accepted
4405273,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,10831.2,3,36,20000,Accepted
4405274,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,5000.0,3,24,15000,Accepted
4405275,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,6666.4,3,24,20000,Accepted
4405276,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,24444.6,3,36,40000,Accepted
4405277,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,12222.3,3,36,20000,Accepted
4405278,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,17588.7,3,36,50000,Accepted
4405279,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,26388.7,3,36,50000,Accepted
4405280,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,26388.7,3,36,50000,Accepted
4405281,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,10075.65,2,36,20000,Accepted
4405282,FEMALE,NOT SPECIFIED,MARRIED,GOVERNMENT_EMPLOYEE,10555.65,1,36,20000,Rejected
4405283,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,18333.1,1,36,30000,Rejected
4405284,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,25628.7,3,36,50000,Accepted
4405285,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,14999.7,1,36,30000,Rejected
4405286,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,14999.7,1,36,30000,Rejected
4405287,FEMALE,NOT SPECIFIED,MARRIED,GOVERNMENT_EMPLOYEE,16666.8,3,24,25000,Accepted
4405288,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,21250.0,3,24,30000,Accepted
4405289,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,11666.75,3,36,20000,Accepted
4405290,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,11666.75,3,36,20000,Accepted
4405291,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,11666.75,3,36,20000,Accepted
4405292,FEMALE,PRIMARY/ELEMENTARY,MARRIED,GOVERNMENT_EMPLOYEE,62222.2,1,36,70000,Accepted
4405293,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,62222.2,1,36,70000,Accepted
4405294,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,62222.2,1,36,70000,Accepted
4405295,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,88888.8,3,36,100000,Accepted
4405296,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,80000.0,3,36,90000,Accepted
4405297,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,99999.9,3,36,120000,Accepted
4405298,FEMALE,NOT SPECIFIED,DIVORCED,TRADE/BUSINESS,29166.65,1,36,30000,Accepted
4405299,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,29166.65,1,36,30000,Accepted
4405300,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,29166.65,1,36,30000,Rejected
4405301,FEMALE,NOT SPECIFIED,MARRIED,GOVERNMENT_EMPLOYEE,12569.9,1,36,30000,Rejected
4405302,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,30000.0,1,36,30000,Rejected
4405303,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,49200.0,3,36,50000,Accepted
4405304,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,23333.2,1,36,30000,Rejected
4405305,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,23173.2,1,36,30000,Rejected
4405306,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,24166.55,1,36,30000,Rejected
4405307,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,23333.2,1,36,30000,Rejected
4405308,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,19121.5,1,36,30000,Rejected
4405309,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,21865.0,1,36,30000,Rejected
4405310,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,19999.8,1,36,30000,Rejected
4405311,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,19999.8,1,36,30000,Rejected
4405312,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,68055.55,1,36,70000,Rejected
4405313,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,58333.35,1,36,60000,Rejected
4405314,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,15000.0,1,24,30000,Rejected
4405315,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,15000.0,1,24,30000,Rejected
4405316,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,29166.65,3,36,30000,Accepted
4405317,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,29600.0,3,36,30000,Accepted
4405318,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,29166.65,1,36,30000,Rejected
4405319,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,15000.0,1,36,15000,Rejected
4405320,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,9666.55,1,36,12000,Rejected
4405321,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,24166.55,1,36,30000,Rejected
4405322,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,23333.2,1,36,30000,Rejected
4405323,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,11666.8,1,36,15000,Rejected
4405324,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,31944.3,2,36,50000,Accepted
4405325,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,12077.0,1,36,20000,Rejected
4405326,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,18333.1,1,36,30000,Rejected
4405327,FEMALE,PRIMARY/ELEMENTARY,MARRIED,TRADE/BUSINESS,18333.1,1,36,30000,Rejected
4405328,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,7500.0,1,36,15000,Rejected
4405329,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,7500.0,1,36,15000,Rejected
4405330,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,6389.25,1,36,10000,Rejected
4405331,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,31944.3,3,36,50000,Accepted
4405332,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,13888.95,1,36,20000,Rejected
4405333,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,33333.4,3,36,40000,Accepted
4405334,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,41666.9,3,36,50000,Accepted
4405335,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,44444.6,3,36,50000,Accepted
4405336,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,75000.0,3,36,90000,Accepted
4405337,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,45833.45,3,36,50000,Accepted
4405338,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,35555.6,3,36,40000,Accepted
4405339,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,71111.2,3,36,80000,Accepted
4405340,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,32222.3,1,36,40000,Rejected
4405341,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,32222.3,1,36,40000,Rejected
4405342,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,34444.5,1,36,40000,Rejected
4405343,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,24999.9,1,36,30000,Rejected
4405344,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,28726.65,1,36,30000,Rejected
4405345,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,28326.65,1,36,30000,Rejected
4405346,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19166.45,3,36,30000,Accepted
4405347,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,41666.6,1,36,50000,Rejected
4405348,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,23585.55,1,36,25000,Rejected
4405349,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,24999.9,1,36,30000,Rejected
4405350,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,58333.35,3,36,60000,Accepted
4405351,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,57933.35,3,36,60000,Accepted
4405352,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,30000.0,1,36,30000,Rejected
4405353,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,29880.0,1,36,30000,Rejected
4405354,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,30000.0,1,36,30000,Rejected
4405355,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,14957.95,1,36,25000,Rejected
4405356,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,15000.0,3,36,15000,Accepted
4405357,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,30000.0,3,36,30000,Accepted
4405358,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,30000.0,1,36,30000,Rejected
4405359,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,30000.0,1,36,30000,Rejected
4405360,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,8569.45,2,36,12000,Accepted
4405361,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,38688.9,2,36,40000,Accepted
4405362,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,28926.65,1,36,30000,Rejected
4405363,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,29046.65,3,36,30000,Accepted
4405364,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,29046.65,3,36,30000,Accepted
4405365,FEMALE,NOT SPECIFIED,MARRIED,FARMING,23333.2,1,36,30000,Rejected
4405366,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,3888.8,1,36,5000,Rejected
4405367,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,29586.8,2,36,50000,Accepted
4405368,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,23333.2,1,36,30000,Rejected
4405369,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,8055.75,1,36,10000,Rejected
4405370,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,24166.55,1,36,30000,Rejected
4405371,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,19999.8,1,36,30000,Rejected
4405372,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,4514.4,1,36,30000,Rejected
4405373,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,6668.8,1,36,10000,Rejected
4405374,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,6668.8,1,36,10000,Rejected
4405375,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,34126.35,3,36,50000,Accepted
4405376,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,34642.1,3,36,50000,Accepted
4405377,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,29544.3,3,36,50000,Accepted
4405378,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,18546.45,3,36,30000,Accepted
4405379,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,15832.15,3,36,25000,Accepted
4405380,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,12777.85,1,36,20000,Rejected
4405381,MALE,NOT SPECIFIED,MARRIED,OTHERS,19166.45,1,36,30000,Rejected
4405382,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,19999.8,1,36,30000,Rejected
4405383,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,19999.8,1,36,30000,Rejected
4405384,MALE,NOT SPECIFIED,MARRIED,OTHERS,9583.55,1,36,15000,Rejected
4405385,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,32173.4,3,36,50000,Accepted
4405386,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,2750.0,1,24,6000,Rejected
4405387,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,35555.6,3,36,40000,Accepted
4405388,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,35555.6,3,36,40000,Accepted
4405389,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,68889.0,3,36,80000,Accepted
4405390,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,71111.2,3,36,80000,Accepted
4405391,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,53333.2,1,36,60000,Rejected
4405392,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,44444.4,1,36,50000,Rejected
4405393,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,44444.4,1,36,50000,Rejected
4405394,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,44444.4,1,36,50000,Rejected
4405395,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,62222.2,3,36,70000,Accepted
4405396,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,80000.0,3,36,90000,Accepted
4405397,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,58333.3,3,36,70000,Accepted
4405398,MALE,NOT SPECIFIED,MARRIED,OTHERS,24999.9,3,36,30000,Accepted
4405399,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,62222.2,3,36,70000,Accepted
4405400,MALE,NOT SPECIFIED,SINGLE,OTHERS,29166.65,3,36,30000,Accepted
4405401,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,38888.9,3,36,40000,Accepted
4405402,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,53333.4,1,36,60000,Rejected
4405403,MALE,NOT SPECIFIED,MARRIED,OTHERS,88889.0,3,36,100000,Accepted
4405404,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,62222.2,1,36,70000,Rejected
4405405,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,62222.2,1,36,70000,Rejected
4405406,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,44444.4,2,36,50000,Accepted
4405407,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,62222.2,2,36,70000,Accepted
4405408,MALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,58333.3,3,36,70000,Rejected
4405409,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,58333.3,3,36,70000,Rejected
4405410,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,9722.25,2,36,10000,Accepted
4405411,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,58333.35,2,36,60000,Accepted
4405412,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,29166.65,2,36,30000,Accepted
4405413,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,57513.35,2,36,60000,Accepted
4405414,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,5416.3,1,24,10000,Rejected
4405415,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,5127.5,1,12,8790,Rejected
4405416,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,1180.5,1,36,5000,Rejected
4405417,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,1187.8,1,36,5000,Rejected
4405418,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,3958.25,1,24,5000,Rejected
4405419,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,4028.75,1,24,8790,Rejected
4405420,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,3765.0,1,24,8790,Rejected
4405421,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,6111.25,1,36,20000,Rejected
4405422,MALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,6111.25,1,36,20000,Rejected
4405423,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,7638.75,1,36,25000,Rejected
4405424,FEMALE,NOT SPECIFIED,MARRIED,GOVERNMENT_EMPLOYEE,6111.25,1,36,20000,Rejected
4405425,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,8333.2,1,36,25000,Rejected
4405426,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,3749.5,1,24,10000,Rejected
4405427,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,5416.3,1,24,10000,Rejected
4405428,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,26666.6,3,36,30000,Accepted
4405429,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,26666.6,3,36,30000,Accepted
4405430,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,44444.4,1,36,50000,Rejected
4405431,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,62222.2,1,36,70000,Rejected
4405432,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,51666.75,1,36,60000,Rejected
4405433,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,88889.0,3,36,100000,Accepted
4405434,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,80000.0,3,36,90000,Accepted
4405435,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,53333.35,1,36,60000,Rejected
4405436,MALE,NOT SPECIFIED,MARRIED,OTHERS,44444.4,1,36,50000,Rejected
4405437,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,44444.4,1,36,50000,Rejected
4405438,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,75555.6,2,36,80000,Accepted
4405439,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,75555.6,2,36,80000,Accepted
4405440,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,17499.35,3,60,50000,Accepted
4405441,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,19400.7,3,60,70000,Accepted
4405442,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,31667.35,3,60,100000,Accepted
4405443,MALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,115000.0,3,36,180000,Accepted
4405444,FEMALE,PRIMARY/ELEMENTARY,MARRIED,OTHERS,11666.3,1,36,30000,Rejected
4405445,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,4806.8,1,36,20000,Rejected
4405446,FEMALE,NOT SPECIFIED,MARRIED,OTHERS,41681.6,2,60,100000,Accepted
4405447,FEMALE,PRIMARY/ELEMENTARY,SINGLE,OTHERS,79985.75,2,36,80000,Accepted
4405448,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,38889.5,1,36,100000,Rejected
4405449,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,36111.75,1,36,100000,Rejected
4405450,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,191270.8,3,36,300000,Accepted
4405451,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,61111.5,1,36,100000,Rejected
4405452,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,9997.95,1,36,30000,Rejected
4405453,MALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,19445.25,2,36,100000,Accepted
4405454,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,23333.7,1,36,60000,Rejected
4405455,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,33134.0,1,36,100000,Rejected
4405456,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,7777.0,1,36,35000,Rejected
4405457,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,24344.75,1,36,100000,Rejected
4405458,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,14999.3,2,60,50000,Accepted
4405459,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,47222.75,1,36,100000,Rejected
4405460,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,97222.25,2,36,100000,Accepted
4405461,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,84444.45,3,36,200000,Accepted
4405462,FEMALE,NOT SPECIFIED,UNSPECIFIED,GOVERNMENT_EMPLOYEE,124999.65,1,36,300000,Rejected
4405463,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,63889.25,3,36,80000,Accepted
4405464,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,10833.15,2,36,20000,Accepted
4405465,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,16666.0,2,60,50000,Accepted
4405466,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,12499.25,2,60,50000,Accepted
4405467,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,48349.2,3,36,80000,Accepted
4405468,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,14999.7,1,36,30000,Rejected
4405469,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,38889.5,1,36,100000,Rejected
4405470,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,30556.25,1,36,100000,Rejected
4405471,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,29896.25,1,36,100000,Rejected
4405472,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,19248.7,2,60,55000,Accepted
4405473,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,9500.0,2,60,30000,Accepted
4405474,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,35667.3,1,60,100000,Rejected
4405475,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,154933.1,1,180,168000,Rejected
4405476,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,153066.4,1,180,168000,Rejected
4405477,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,153999.75,1,180,168000,Rejected
4405478,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,142799.55,1,180,168000,Rejected
4405479,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,153999.75,1,180,168000,Rejected
4405480,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,153999.75,1,180,168000,Rejected
4405481,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,153999.75,1,180,168000,Rejected
4405482,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,153999.75,1,180,168000,Rejected
4405483,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,153999.75,1,180,168000,Rejected
4405484,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,153999.75,1,180,168000,Rejected
4405485,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,153999.75,1,180,168000,Rejected
4405486,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,110000.25,1,120,120000,Rejected
4405487,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,148400.0,1,120,168000,Rejected
4405488,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,148400.0,1,120,168000,Rejected
4405489,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,131600.0,1,120,168000,Rejected
4405490,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,147000.0,1,120,168000,Rejected
4405491,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,130200.0,1,120,168000,Rejected
4405492,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,147000.0,1,120,168000,Rejected
4405493,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,153999.75,1,180,168000,Rejected
4405494,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,GOVERNMENT_EMPLOYEE,148400.0,1,120,168000,Rejected
4405495,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,147000.0,1,120,168000,Rejected
4405496,FEMALE,NOT SPECIFIED,UNSPECIFIED,TRADE/BUSINESS,147000.0,1,120,168000,Rejected
4405497,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,148400.0,1,120,168000,Rejected
4405498,FEMALE,NOT SPECIFIED,UNSPECIFIED,TRADE/BUSINESS,148400.0,1,120,168000,Rejected
4405499,FEMALE,NOT SPECIFIED,MARRIED,TRADE/BUSINESS,147000.0,1,120,168000,Rejected
4405500,FEMALE,NOT SPECIFIED,UNSPECIFIED,TRADE/BUSINESS,130200.0,1,120,168000,Rejected
4405501,FEMALE,PRIMARY/ELEMENTARY,MARRIED,GOVERNMENT_EMPLOYEE,94153.7,1,120,120000,Rejected
4405502,FEMALE,NOT SPECIFIED,SINGLE,OTHERS,91948.85,1,120,160000,Rejected
4405503,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,96413.8,1,120,168000,Rejected
4405504,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,89594.15,1,120,140000,Rejected
4405505,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,114127.85,1,120,168000,Rejected
4405506,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,94153.7,1,120,120000,Rejected
4405507,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,147000.0,1,120,168000,Rejected
4405508,FEMALE,PRIMARY/ELEMENTARY,UNSPECIFIED,OTHERS,107992.5,1,120,168000,Rejected
4405509,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,176729.55,1,180,192000,Rejected
4405510,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,179200.2,1,180,192000,Rejected
4405511,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,176388.85,1,180,192000,Rejected
4405512,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,178049.1,1,180,192000,Rejected
4405513,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,178133.55,1,180,192000,Rejected
4405514,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,159355.9,1,180,192000,Rejected
4405515,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,169369.1,1,180,192000,Rejected
4405516,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,178133.55,1,180,192000,Rejected
4405517,FEMALE,NOT SPECIFIED,UNSPECIFIED,OTHERS,167746.75,1,180,192000,Accepted
